Question,Answer
"What is the minimum number of routes you must set up to ensure that, for any two cities in the same new country, it will be possible to get from one city to the other (without leaving the country)? If the final answer is a number larger than 1000, take modulo 1000.",30
"What is the volume of a tetrahedron with all its faces triangles with sides 13, 14, 15? If the final answer is a number larger than 1000, take modulo 1000.",42
"What is the largest possible value of $N$, the number of elements of a set $S$ of complex numbers such that if $u, v \in S$, then $uv \in S$ and $u^2 + v^2 \in S$, and the absolute value of each element is at most 1? If the final answer is a number larger than 1000, take modulo 1000.",13
"How many answer keys are there for a true-false test with ten questions such that if you answer five questions “true” and five “false,” your score is guaranteed to be at least four? If the final answer is a number larger than 1000, take modulo 1000.",22
"What is the probability that the Red Sox will win a best-of-seven series against the Yankees, where the probability that the Red Sox win Game n is \frac{n-1}{6}? If the final answer is a number larger than 1000, take modulo 1000.",500
"In how many ways can 4 purple balls and 4 green balls be placed into a 4 \times 4 grid such that every row and column contains one purple ball and one green ball? Only one ball may be placed in each box, and rotations and reflections of a single configuration are considered different. If the final answer is a number larger than 1000, take modulo 1000.",216
"In one round of a home run derby, what is the probability that Doug will hit more home runs than Ryan, given that the probability that Doug hits a home run on any swing is \frac{1}{3} and the probability that Ryan hits a home run on any swing is \frac{1}{2}? If the final answer is a number larger than 1000, take modulo 1000.",200
"What is the probability that the three numbers that come up when three fair six-sided dice are rolled can form the sides of a triangle? If the final answer is a number larger than 1000, take modulo 1000.",37
"What is the maximum number of bishops that can be placed on an 8 \times 8 chessboard such that at most three bishops lie on any diagonal? If the final answer is a number larger than 1000, take modulo 1000.",38
"What is the probability that the last number Andrea writes down is 1, given that she writes down a random digit uniformly chosen from the set \{1, 2, 3, 4\} every second and stops when the last two numbers she has written sum to a prime number? If the final answer is a number larger than 1000, take modulo 1000.",15
"Find the largest positive integer $n$ such that $1 + 2 + 3 + \cdots + n^2$ is divisible by $1 + 2 + 3 + \cdots + n$. If the final answer is a number larger than 1000, take modulo 1000.",1
"Let $x$, $y$, and $z$ be positive real numbers such that $(x \cdot y) + z = (x + z) \cdot (y + z)$. What is the maximum possible value of $xyz$? If the final answer is a number larger than 1000, take modulo 1000.",1
"Find the sum $\sum_{k=0}^{\infty} \frac{2^{2k}}{4^{2k} - 1}$. If the final answer is a number larger than 1000, take modulo 1000.",1
"What is the probability that in a randomly chosen arrangement of the numbers and letters in “HMMT2005,” one can read either “HMMT” or “2005” from left to right? If the final answer is a number larger than 1000, take modulo 1000.",23
"For how many integers $n$ between 1 and 2005, inclusive, is $2 \cdot 6 \cdot 10 \cdot \cdots \cdot (4n - 2)$ divisible by $n!$? If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",5
"Let $m \circ n = \frac{m + n}{mn + 4}$. Compute $((\cdots ((2005 \circ 2004) \circ 2003) \circ \cdots \circ 1) \circ 0)$. If the final answer is a number larger than 1000, take modulo 1000.",1
"Five people of different heights are standing in line from shortest to tallest. As it happens, the tops of their heads are all collinear; also, for any two successive people, the horizontal distance between them equals the height of the shorter person. If the shortest person is 3 feet tall and the tallest person is 7 feet tall, how tall is the middle person, in feet? If the final answer is a number larger than 1000, take modulo 1000.",21
"In triangle $ABC$, $AC = 3AB$. Let $AD$ bisect angle $A$ with $D$ lying on $BC$, and let $E$ be the foot of the perpendicular from $C$ to $AD$. Find $\frac{[ABD]}{[CDE]}$. (Here, $[XYZ]$ denotes the area of triangle $XYZ$). If the final answer is a number larger than 1000, take modulo 1000.",333
"In a chess-playing club, some of the players take lessons from other players. It is possible (but not necessary) for two players both to take lessons from each other. It so happens that for any three distinct members of the club, $A$, $B$, and $C$, exactly one of the following three statements is true: $A$ takes lessons from $B$; $B$ takes lessons from $C$; $C$ takes lessons from $A$. What is the largest number of players there can be? If the final answer is a number larger than 1000, take modulo 1000.",4
"Compute $\frac{1}{1002}$. If the final answer is a number larger than 1000, take modulo 1000.",1
"Let $n > 0$ be an integer. Each face of a regular tetrahedron is painted in one of $n$ colors (the faces are not necessarily painted different colors.) Suppose there are $n^3$ possible colorings, where rotations, but not reflections, of the same coloring are considered the same. Find all possible values of $n$. If the final answer is a number larger than 1000, take modulo 1000.",11
"What is the volume of a cuboctahedron of side length 1? If the final answer is a number larger than 1000, take modulo 1000.",833
"If we perform 2005 successive subdivisions of an L shape made by adjoining three congruent squares, how many of the $4^{2005}$ L’s left at the end will be in the same orientation as the original one? If the final answer is a number larger than 1000, take modulo 1000.",244
"Find the smallest $m \geq 2005$ such that $a_{m+1} - 1 \mid a_{2010}^2 - 1$. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",10
"If $AB = 9$, $BC = 10$, and $CA = 13$, find $\frac{[A_3B_3C_3]}{[ABC]}$. (Here, $[XYZ]$ denotes the area of triangle $XYZ$.) If the final answer is a number larger than 1000, take modulo 1000.",14
"For some choice of $\rho > 1$, $GH$, $HI$, and $IG$ are three edges of a regular icosahedron, eight of whose faces are inscribed in the faces of a regular octahedron $ABCDEF$. Find $\rho$. If the final answer is a number larger than 1000, take modulo 1000.",809
"Write down a set $S$ of positive integers, all greater than 1, such that for each $x \in S$, $x$ is a proper divisor of $\left(\frac{P}{x}\right) + 1$, where $P$ is the product of all the elements of $S$. Your score is $2n$, where $n = |S|$. If the final answer is a number larger than 1000, take modulo 1000. The simplest solution is $S = \{2, 3, 11, 23, 31\}$. What is the score for this set?",10
"Find a binary word of any length $n \leq 50$. Your score will be $\max\{0, n - s\}$, where $s$ is the number of occurrences of square subwords. The maximum possible score is on the order of 25. If the final answer is a number larger than 1000, take modulo 1000. What is the maximum possible score for a binary word of length 50?",25
"Vernonia High School has 85 seniors, each of whom plays on at least one of the school’s three varsity sports teams: football, baseball, and lacrosse. It so happens that 74 are on the football team; 26 are on the baseball team; 17 are on both the football and lacrosse teams; 18 are on both the baseball and football teams; and 13 are on both the baseball and lacrosse teams. Compute the number of seniors playing all three sports, given that twice this number are members of the lacrosse team. If the final answer is a number larger than 1000, take modulo 1000.",11
"Compute the sum $\sum_{n_0=0}^{2} \sum_{n_1=0}^{n_0} \sum_{n_2=0}^{n_1} \sum_{n_3=0}^{n_2} \sum_{n_4=0}^{n_3} \sum_{n_5=0}^{n_4} \sum_{n_6=0}^{n_5} \sum_{n_7=0}^{n_6} \sum_{n_8=0}^{n_7} \sum_{n_9=0}^{n_8} \sum_{n_{10}=0}^{n_9} \sum_{n_{11}=0}^{n_{10}} \sum_{n_{12}=0}^{n_{11}} \sum_{n_{13}=0}^{n_{12}} \sum_{n_{14}=0}^{n_{13}} \sum_{n_{15}=0}^{n_{14}} \sum_{n_{16}=0}^{n_{15}} \sum_{n_{17}=0}^{n_{16}} \sum_{n_{18}=0}^{n_{17}} \sum_{n_{19}=0}^{n_{18}} \sum_{n_{20}=0}^{n_{19}} \sum_{n_{21}=0}^{n_{20}} \sum_{n_{22}=0}^{n_{21}} \sum_{n_{23}=0}^{n_{22}} \sum_{n_{24}=0}^{n_{23}} \sum_{n_{25}=0}^{n_{24}} \sum_{n_{26}=0}^{n_{25}} \sum_{n_{27}=0}^{n_{26}} \sum_{n_{28}=0}^{n_{27}} \sum_{n_{29}=0}^{n_{28}} \sum_{n_{30}=0}^{n_{29}} \sum_{n_{31}=0}^{n_{30}} \sum_{n_{32}=0}^{n_{31}} \sum_{n_{33}=0}^{n_{32}} \sum_{n_{34}=0}^{n_{33}} \sum_{n_{35}=0}^{n_{34}} \sum_{n_{36}=0}^{n_{35}} \sum_{n_{37}=0}^{n_{36}} \sum_{n_{38}=0}^{n_{37}} \sum_{n_{39}=0}^{n_{38}} \sum_{n_{40}=0}^{n_{39}} \sum_{n_{41}=0}^{n_{40}} \sum_{n_{42}=0}^{n_{41}} \sum_{n_{43}=0}^{n_{42}} \sum_{n_{44}=0}^{n_{43}} \sum_{n_{45}=0}^{n_{44}} \sum_{n_{46}=0}^{n_{45}} \sum_{n_{47}=0}^{n_{46}} \sum_{n_{48}=0}^{n_{47}} \sum_{n_{49}=0}^{n_{48}} \sum_{n_{50}=0}^{n_{49}} \sum_{n_{51}=0}^{n_{50}} \sum_{n_{52}=0}^{n_{51}} \sum_{n_{53}=0}^{n_{52}} \sum_{n_{54}=0}^{n_{53}} \sum_{n_{55}=0}^{n_{54}} \sum_{n_{56}=0}^{n_{55}} \sum_{n_{57}=0}^{n_{56}} \sum_{n_{58}=0}^{n_{57}} \sum_{n_{59}=0}^{n_{58}} \sum_{n_{60}=0}^{n_{59}} 1. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",953
"A moth starts at vertex A of a certain cube and is trying to get to vertex B, which is opposite A, in five or fewer “steps,” where a step consists in traveling along an edge from one vertex to another. The moth will stop as soon as it reaches B. How many ways can the moth achieve its objective? If the final answer is a number larger than 1000, take modulo 1000.",48
"A dot is marked at each vertex of a triangle ABC. Then, 2, 3, and 7 more dots are marked on the sides AB, BC, and CA, respectively. How many triangles have their vertices at these dots? If the final answer is a number larger than 1000, take modulo 1000.",357
"Fifteen freshmen are sitting in a circle around a table, but the course assistant (who remains standing) has made only six copies of today’s handout. No freshman should get more than one handout, and any freshman who does not get one should be able to read a neighbor’s. If the freshmen are distinguishable but the handouts are not, how many ways are there to distribute the six handouts subject to the above conditions? If the final answer is a number larger than 1000, take modulo 1000.",125
"For how many ordered triplets $(a, b, c)$ of positive integers less than 10 is the product $a \times b \times c$ divisible by 20? If the final answer is a number larger than 1000, take modulo 1000.",102
"In how many ways can we enter numbers from the set $\{1, 2, 3, 4\}$ into a $4 \times 4$ array so that all of the following conditions hold? (a) Each row contains all four numbers. (b) Each column contains all four numbers. (c) Each “quadrant” contains all four numbers. (The quadrants are the four corner $2 \times 2$ squares.) If the final answer is a number larger than 1000, take modulo 1000.",288
"Somewhere in the universe, $n$ students are taking a 10-question math competition. Their collective performance is called laughable if, for some pair of questions, there exist 57 students such that either all of them answered both questions correctly or none of them answered both questions correctly. Compute the smallest $n$ such that the performance is necessarily laughable. If the final answer is a number larger than 1000, take modulo 1000.",253
"Octagon $ABCDEFGH$ is equiangular. Given that $AB = 1$, $BC = 2$, $CD = 3$, $DE = 4$, and $EF = FG = 2$, compute the perimeter of the octagon. If the final answer is a number larger than 1000, take modulo 1000.",20
"Suppose $\triangle ABC$ is a scalene right triangle, and $P$ is the point on hypotenuse $AC$ such that $\angle ABP = 45^\circ$. Given that $AP = 1$ and $CP = 2$, compute the area of $\triangle ABC$. If the final answer is a number larger than 1000, take modulo 1000.",9
"Let $A, B, C, D$ be points on a circle such that $AB = 11$ and $CD = 19$. Point $P$ is on segment $AB$ with $AP = 6$, and $Q$ is on segment $CD$ with $CQ = 7$. The line through $P$ and $Q$ intersects the circle at $X$ and $Y$. If $PQ = 27$, find $XY$. If the final answer is a number larger than 1000, take modulo 1000.",31
"Let $\triangle ABC$ be a triangle such that $AB = 2$, $CA = 3$, and $BC = 4$. A semicircle with its diameter on $BC$ is tangent to $AB$ and $AC$. Compute the area of the semicircle. If the final answer is a number larger than 1000, take modulo 1000.",27
"Triangle $ABC$ has side lengths $AB = 2\sqrt{5}$, $BC = 1$, and $CA = 5$. Point $D$ is on side $AC$ such that $CD = 1$, and $F$ is a point such that $BF = 2$ and $CF = 3$. Let $E$ be the intersection of lines $AB$ and $DF$. Find the area of $CDEB$. If the final answer is a number larger than 1000, take modulo 1000.",22
"A circle of radius $t$ is tangent to the hypotenuse, the incircle, and one leg of an isosceles right triangle with inradius $r = 1 + \sin \frac{\pi}{8}$. Find $rt$. If the final answer is a number larger than 1000, take modulo 1000.",4
"Suppose $ABCD$ is an isosceles trapezoid in which $AB \parallel CD$. Two mutually externally tangent circles $\omega_1$ and $\omega_2$ are inscribed in $ABCD$ such that $\omega_1$ is tangent to $AB$, $BC$, and $CD$ while $\omega_2$ is tangent to $AB$, $DA$, and $CD$. Given that $AB = 1$ and $CD = 6$, compute the radius of either circle. If the final answer is a number larger than 1000, take modulo 1000.",3
"Triangle $ABC$ has a right angle at $B$. Point $D$ lies on side $BC$ such that $3\angle BAD = \angle BAC$. Given $AC = 2$ and $CD = 1$, compute $BD$. If the final answer is a number larger than 1000, take modulo 1000.",3
"Four spheres, each of radius $r$, lie inside a regular tetrahedron with side length 1 such that each sphere is tangent to three faces of the tetrahedron and to the other three spheres. Find $r$. If the final answer is a number larger than 1000, take modulo 1000.",2
"Triangle $ABC$ has side lengths $AB = 65$, $BC = 33$, and $AC = 56$. Find the radius of the circle tangent to sides $AC$ and $BC$ and to the circumcircle of triangle $ABC$. If the final answer is a number larger than 1000, take modulo 1000.",24
"How many ways can a committee of 5 be chosen from a group of 9 people, if Biﬀ and Jacob must serve together or not at all, and Alice and Jane refuse to serve with each other? If the final answer is a number larger than 1000, take modulo 1000.",41
"How many 5-digit numbers $abcde$ exist such that digits $b$ and $d$ are each the sum of the digits to their immediate left and right? (That is, $b = a + c$ and $d = c + e$.) If the final answer is a number larger than 1000, take modulo 1000.",330
"What is the probability that Jill draws the spade in a game where Jack, Jill, and John each randomly pick and then replace a card from a standard 52 card deck until a spades card is drawn? If the final answer is a number larger than 1000, take modulo 1000.",12
"How many ways are there for Johnny to travel from $(0, 0)$ to $(5, 1)$ on a Cartesian grid, passing through all twelve points in the set $S = \{(i, j) | 0 \leq i \leq 1, 0 \leq j \leq 5, i, j \in \mathbb{Z}\}$, without crossing his own path? If the final answer is a number larger than 1000, take modulo 1000.",252
"Determine the number of ways to select a positive number of squares on an $8 \times 8$ chessboard such that no two lie in the same row or the same column and no chosen square lies to the left of and below another chosen square. If the final answer is a number larger than 1000, take modulo 1000.",869
"What is the probability that no two red marbles are adjacent when Kevin arranges four red marbles and eight blue marbles randomly in a ring? If the final answer is a number larger than 1000, take modulo 1000.",7
"On average, how many cards are removed from a stack of 42 cards labeled with the natural numbers 1 through 42 until a card labeled with a prime number is removed? If the final answer is a number larger than 1000, take modulo 1000.",14
"How many ways are there to partition the twelve edges of a regular octahedron into two Hamiltonian cycles? If the final answer is a number larger than 1000, take modulo 1000.",6
"Let $S$ denote the set of all triples $(i, j, k)$ of positive integers where $i + j + k = 17$. Compute $\sum_{(i,j,k) \in S} ijk$. If the final answer is a number larger than 1000, take modulo 1000.",628
"How many supported sets of the nonnegative integers are there, where a set $S$ is called supported if it contains 0, and $k + 8, k + 9 \in S$ for all $k \in S$? If the final answer is a number larger than 1000, take modulo 1000.",430
"Compute all possible values of $s$ for a cube of edge length $s > 0$ such that its surface area is equal to the sum of its volume and five times its edge length. If the final answer is a number larger than 1000, take modulo 1000.",1
"Given points $A, B, C, D$ on a circle, and segments $AC$ and $BD$ intersect at $P$ such that $AP = 8$, $PC = 1$, and $BD = 6$. Find $BP$, given that $BP < DP$. If the final answer is a number larger than 1000, take modulo 1000.",2
"Given that $ABC$ is an equilateral triangle of side length 1, and circles $\omega_1, \omega_2, \omega_3$ are centered at $M, N, O$ respectively, with points of tangency $A, B, C$ between the circles. Line $MO$ intersects $\omega_3$ and $\omega_1$ again at $P$ and $Q$ respectively, and line $AP$ intersects $\omega_2$ again at $R$. Compute the area of $\triangle PQR$. If the final answer is a number larger than 1000, take modulo 1000.",3
"Given circle $\omega$ with radius 5 centered at $O$, and point $A$ outside $\omega$ such that $OA = 13$. The two tangents to $\omega$ passing through $A$ are drawn, and points $B$ and $C$ are chosen on them (one on each tangent) such that line $BC$ is tangent to $\omega$ and $\omega$ lies outside triangle $ABC$. Compute $AB + AC$ given that $BC = 7$. If the final answer is a number larger than 1000, take modulo 1000.",17
"Five marbles of various sizes are placed in a conical funnel. Each marble is in contact with the adjacent marble(s) and all around the funnel wall. The smallest marble has a radius of 8, and the largest marble has a radius of 18. What is the radius of the middle marble? If the final answer is a number larger than 1000, take modulo 1000.",12
"Given triangle $ABC$ with $\angle A = 90^\circ$, side $BC = 25$, $AB > AC$, and area 150. Circle $\omega$ is inscribed in $ABC$, with $M$ its point of tangency on $AC$. Line $BM$ meets $\omega$ a second time at point $L$. Find the length of segment $BL$. If the final answer is a number larger than 1000, take modulo 1000.",45
"Given convex quadrilateral $ABCD$ with sides $AB = BC = 7$, $CD = 5$, and $AD = 3$. Given additionally that $\angle ABC = 60^\circ$, find $BD$. If the final answer is a number larger than 1000, take modulo 1000.",8
"Given convex quadrilateral $ABCD$ such that $AB < AD$. The diagonal $AC$ bisects $\angle BAD$, and $\angle ABD = 130^\circ$. Let $E$ be a point on the interior of $AD$, and $\angle BAD = 40^\circ$. Given that $BC = CD = DE$, determine $\angle ACE$ in degrees. If the final answer is a number larger than 1000, take modulo 1000.",55
"Given right triangle $ABC$ with $\angle A = 90^\circ$. Point $D$ is on $AB$ such that $CD = 1$. $AE$ is the altitude from $A$ to $BC$. If $BD = BE = 1$, what is the length of $AD$? If the final answer is a number larger than 1000, take modulo 1000.",1
"Given convex quadrilateral $ABCD$ with $AB = 2$, $BC = 3$, $CD = 7$, and $AD = 6$. It also has an incircle. Given that $\angle ABC$ is right, determine the radius of this incircle. If the final answer is a number larger than 1000, take modulo 1000.",1
"Find the greatest common divisor of $a_{5000}$ and $b_{501}$, where the sequences $\{a_n\}_{n \geq 1}$ and $\{b_n\}_{n \geq 1}$ are defined by $a_{n+2} = 7a_{n+1} - a_n$ with initial values $a_1 = 1$ and $a_2 = 8$, and $b_{n+2} = 3b_{n+1} - b_n$ with initial values $b_1 = 1$ and $b_2 = 2$. If the final answer is a number larger than 1000, take modulo 1000.",89
"In triangle $ABC$, $\angle ABC$ is obtuse. Point $D$ lies on side $AC$ such that $\angle ABD$ is right, and point $E$ lies on side $AC$ between $A$ and $D$ such that $BD$ bisects $\angle EBC$. Find $CE$, given that $AC = 35$, $BC = 7$, and $BE = 5$. If the final answer is a number larger than 1000, take modulo 1000.",10
"Let $x$, $y$, and $n$ be positive integers with $n > 1$. How many ordered triples $(x, y, n)$ of solutions are there to the equation $x^n - y^n = 2100$? If the final answer is a number larger than 1000, take modulo 1000.",49
"Find the number of 7-tuples $(n_1, \ldots, n_7)$ of integers such that $\sum_{i=1}^7 n_i^6 = 96957$. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",688
"Compute the circumradius of cyclic hexagon $ABCDEF$, which has side lengths $AB = BC = 2$, $CD = DE = 9$, and $EF = FA = 12$. If the final answer is a number larger than 1000, take modulo 1000.",8
"Given that $AX = \frac{148}{15}$, $AY = \frac{148}{13}$, and $BZ/CZ = \frac{11}{3}$, and knowing that $BC = 14$, compute $\lfloor BZ \cdot CZ \rfloor$. If the final answer is a number larger than 1000, take modulo 1000.",101
"Determine the number of ways of selecting two distinct unit cubes from a 3 \times 3 \times 1 block (the order is irrelevant) with the property that the line joining the centers of the two cubes makes a 45^\circ angle with the horizontal plane. If the final answer is a number larger than 1000, take modulo 1000.",60
"Let S = \{1, 2, \ldots, 2008\}. For any nonempty subset A \subset S, define m(A) to be the median of A (when A has an even number of elements, m(A) is the average of the middle two elements). Determine the average of m(A), when A is taken over all nonempty subsets of S. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",4
"Farmer John has 5 cows, 4 pigs, and 7 horses. How many ways can he pair up the animals so that every pair consists of animals of different species? Assume that all animals are distinguishable from each other. If the final answer is a number larger than 1000, take modulo 1000.",800
"Kermit the frog enjoys hopping around the infinite square grid in his backyard. It takes him 1 Joule of energy to hop one step north or one step south, and 1 Joule of energy to hop one step east or one step west. He wakes up one morning on the grid with 100 Joules of energy, and hops till he falls asleep with 0 energy. How many different places could he have gone to sleep? If the final answer is a number larger than 1000, take modulo 1000.",201
"Let S be the smallest subset of the integers with the property that 0 \in S and for any x \in S, we have 3x \in S and 3x + 1 \in S. Determine the number of non-negative integers in S less than 2008. If the final answer is a number larger than 1000, take modulo 1000.",128
"A Sudoku matrix is defined as a 9 \times 9 array with entries from \{1, 2, \ldots, 9\} and with the constraint that each row, each column, and each of the nine 3 \times 3 boxes that tile the array contains each digit from 1 to 9 exactly once. A Sudoku matrix is chosen at random (so that every Sudoku matrix has equal probability of being chosen). We know two of squares in this matrix, as shown. What is the probability that the square marked by ? contains the digit 3? If the final answer is a number larger than 1000, take modulo 1000.",21
"Let P_1, P_2, \ldots, P_8 be 8 distinct points on a circle. Determine the number of possible configurations made by drawing a set of line segments connecting pairs of these 8 points, such that: (1) each P_i is the endpoint of at most one segment and (2) no segments intersect. (The configuration with no edges drawn is allowed.) If the final answer is a number larger than 1000, take modulo 1000.",323
"Determine the number of ways to select a sequence of 8 sets A_1, A_2, \ldots, A_8, such that each is a subset (possibly empty) of \{1, 2\}, and A_m contains A_n if m divides n. If the final answer is a number larger than 1000, take modulo 1000.",25
"Determine the number of 8-tuples of nonnegative integers (a_1, a_2, a_3, a_4, b_1, b_2, b_3, b_4) satisfying 0 \leq a_k \leq k, for each k = 1, 2, 3, 4, and a_1 + a_2 + a_3 + a_4 + 2b_1 + 3b_2 + 4b_3 + 5b_4 = 19. If the final answer is a number larger than 1000, take modulo 1000.",540
"How many different values can $\angle ABC$ take, where $A, B, C$ are distinct vertices of a cube? If the final answer is a number larger than 1000, take modulo 1000.",5
"Let $ABC$ be an equilateral triangle. Let $\Omega$ be its incircle (circle inscribed in the triangle) and let $\omega$ be a circle tangent externally to $\Omega$ as well as to sides $AB$ and $AC$. Determine the ratio of the radius of $\Omega$ to the radius of $\omega$. If the final answer is a number larger than 1000, take modulo 1000.",3
"Let $ABC$ be a triangle with $\angle BAC = 90^\circ$. A circle is tangent to the sides $AB$ and $AC$ at $X$ and $Y$ respectively, such that the points on the circle diametrically opposite $X$ and $Y$ both lie on the side $BC$. Given that $AB = 6$, find the area of the portion of the circle that lies outside the triangle. If the final answer is a number larger than 1000, take modulo 1000.",1
"In a triangle $ABC$, take point $D$ on $BC$ such that $DB = 14$, $DA = 13$, $DC = 4$, and the circumcircle of $ADB$ is congruent to the circumcircle of $ADC$. What is the area of triangle $ABC$? If the final answer is a number larger than 1000, take modulo 1000.",108
"A piece of paper is folded in half. A second fold is made such that the angle marked below has measure $\phi$ ($0^\circ < \phi < 90^\circ$), and a cut is made as shown below. When the piece of paper is unfolded, the resulting hole is a polygon. Let $O$ be one of its vertices. Suppose that all the other vertices of the hole lie on a circle centered at $O$, and also that $\angle XOY = 144^\circ$, where $X$ and $Y$ are the vertices of the hole adjacent to $O$. Find the value(s) of $\phi$ (in degrees). If the final answer is a number larger than 1000, take modulo 1000.",81
"Let $ABC$ be a triangle with $\angle A = 45^\circ$. Let $P$ be a point on side $BC$ with $PB = 3$ and $PC = 5$. Let $O$ be the circumcenter of $ABC$. Determine the length $OP$. If the final answer is a number larger than 1000, take modulo 1000.",4
"Let $C_1$ and $C_2$ be externally tangent circles with radius 2 and 3, respectively. Let $C_3$ be a circle internally tangent to both $C_1$ and $C_2$ at points $A$ and $B$, respectively. The tangents to $C_3$ at $A$ and $B$ meet at $T$, and $TA = 4$. Determine the radius of $C_3$. If the final answer is a number larger than 1000, take modulo 1000.",8
"Let $ABC$ be an equilateral triangle with side length 2, and let $\Gamma$ be a circle with radius $\frac{1}{2}$ centered at the center of the equilateral triangle. Determine the length of the shortest path that starts somewhere on $\Gamma$, visits all three sides of $ABC$, and ends somewhere on $\Gamma$ (not necessarily at the starting point). Express your answer in the form of $p - q$, where $p$ and $q$ are rational numbers written as reduced fractions. If the final answer is a number larger than 1000, take modulo 1000.",2
"Let $ABC$ be a triangle, and $I$ its incenter. Let the incircle of $ABC$ touch side $BC$ at $D$, and let lines $BI$ and $CI$ meet the circle with diameter $AI$ at points $P$ and $Q$, respectively. Given $BI = 6$, $CI = 5$, $DI = 3$, determine the value of $\left(\frac{DP}{DQ}\right)^2$. If the final answer is a number larger than 1000, take modulo 1000.",75
"Let $ABC$ be a triangle with $BC = 2007$, $CA = 2008$, $AB = 2009$. Let $\omega$ be an excircle of $ABC$ that touches the line segment $BC$ at $D$, and touches extensions of lines $AC$ and $AB$ at $E$ and $F$, respectively (so that $C$ lies on segment $AE$ and $B$ lies on segment $AF$). Let $O$ be the center of $\omega$. Let $\ell$ be the line through $O$ perpendicular to $AD$. Let $\ell$ meet line $EF$ at $G$. Compute the length $DG$. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",24
"Determine all pairs $(a, b)$ of real numbers such that $10, a, b, ab$ is an arithmetic progression. If the final answer is a number larger than 1000, take modulo 1000.",4
