Question,Solution
"Let ABCD be an isosceles trapezoid such that AD = BC, AB = 3, and CD = 8. Let E be a point in the plane such that BC = EC and AE $\perp$ EC. Compute AE.","Let r = BC = EC = AD.  In $\triangle ACE$, $\angle AEC$ is a right angle, so by the Pythagorean Theorem, AE$^2$ = AC$^2$ - r$^2$. Let the height of $\triangle ACD$ at A intersect DC at F.  Then, by the Pythagorean Theorem, AC$^2$ = FC$^2$ + AF$^2$.  After some calculations (using the properties of the trapezoid), we find AE$^2 = 24$, so AE = $2\sqrt{6}$."
"Let $\omega_1$ and $\omega_2$ be circles with centers O$_1$ and O$_2$, respectively, and radii r$_1$ and r$_2$, respectively. Suppose that O$_2$ is on $\omega_1$. Let A be one of the intersections of $\omega_1$ and $\omega_2$, and B be one of the two intersections of line O$_1$O$_2$ with $\omega_2$. If AB = O$_1$A, find all possible values of $\frac{r_1}{r_2}$.","There are two cases.  In Case 1, we consider $\triangle ABO_2$. Since AB = AO$_1$ = O$_1$O$_2$ = r$_1$ and O$_2$B = O$_2$A = r$_2$, we have $\triangle ABO_1 \sim \triangle O_2AB$.  Solving the resulting equation, we find $\frac{r_1}{r_2} = \frac{1+\sqrt{5}}{2}$. In Case 2, a similar analysis, considering $\triangle ABO_1$, yields the same result: $\frac{r_1}{r_2} = \frac{1+\sqrt{5}}{2}$."
"In triangle ABC, $\angle A = 45^\circ$ and M is the midpoint of BC. AM intersects the circumcircle of ABC for the second time at D, and AM = 2MD. Find cos $\angle AOD$, where O is the circumcenter of ABC.","Since $\angle BAC = 45^\circ$, $\angle BOC = 90^\circ$. Let r be the circumradius. Then BC = $\sqrt{2}r$, BM = CM = $\frac{\sqrt{2}r}{2}$. By Power of a Point, BM $\cdot$ CM = AM $\cdot$ DM, so AM = r and DM = $\frac{r}{2}$. Using the Law of Cosines on $\triangle AOD$, we have cos $\angle AOD = -\frac{1}{8}$."
"Arpon chooses a positive real number $k$. For each positive integer $n$, he places a marker at the point $(n, nk)$ in the $(x, y)$ plane. Suppose that two markers whose $x$ coordinates differ by 4 have distance 31. What is the distance between the markers at $(7, 7k)$ and $(19, 19k)$?","The difference of the $x$-coordinates of the markers is $12 = 3 \cdot 4$. Thus, by similar triangles (where we draw right triangles whose legs are parallel to the axes and whose hypotenuses lie along the line $y = kx$), the distance between the markers is $3 \cdot 31 = 93$."
"The real numbers $x, y, z$ satisfy $0 \le x \le y \le z \le 4$. If their squares form an arithmetic progression with common difference 2, determine the minimum possible value of $|z^2 - x^2|$.","Let the squares form an arithmetic progression with common difference 2. Then $y^2 - x^2 = 2$ and $z^2 - y^2 = 2$. Thus $z^2 - x^2 = 4$.  We have $y^2 = x^2 + 2$ and $z^2 = x^2 + 4$. Since $x \le y \le z \le 4$, we have $x \le \sqrt{2}$ and $x \le \sqrt{12}$. The minimum occurs when $x = 0$, which gives $y = \sqrt{2}$ and $z = 2$. The minimum value of $|z^2 - x^2|$ is 4."
"Rahul has ten cards face-down, which consist of five distinct pairs of matching cards. During each move of his game, Rahul chooses one card to turn face-up, looks at it, and then chooses another to turn face-up and looks at it. If the two face-up cards match, the game ends. If not, Rahul flips both cards face-down and keeps repeating this process. Initially, Rahul doesn’t know which cards are which. Assuming that he has perfect memory, find the smallest number of moves after which he can guarantee that the game has ended.","Label the 10 cards $a_1, a_2, \dots, a_5, b_1, b_2, \dots, b_5$ such that $a_i$ and $b_i$ match for $1 \le i \le 5$. Rahul cannot always end the game in less than 4 moves. However, Rahul can always end the game in 4 moves. To do this, he can turn over 6 distinct cards in his first 3 moves. If we consider the 5 sets of cards $\{a_1, b_1\}, \{a_2, b_2\}, \{a_3, b_3\}, \{a_4, b_4\}, \{a_5, b_5\}$, then by the pigeonhole principle, at least 2 of the 6 revealed cards must be from the same set. Rahul can then turn over those 2 cards on the fourth move, ending the game."
"Sherry and Val are playing a game. Sherry has a deck containing 2011 red cards and 2012 black cards, shuffled randomly. Sherry flips these cards over one at a time, and before she flips each card over, Val guesses whether it is red or black. If Val guesses correctly, she wins 1 dollar; otherwise, she loses 1 dollar. In addition, Val must guess red exactly 2011 times. If Val plays optimally, what is her expected profit from this game?","Let $f(r, b, g)$ be the expected profit when there are $r$ red cards, $b$ black cards, and $g$ guesses must be red. We will prove by induction on $r + b$ that $f(r, b, g) = \frac{(b - r) + 2(r - g)}{(r + b)}$.  If Val guesses red, her expected profit is $\frac{r}{r + b}(1 + f(r - 1, b, g - 1)) + \frac{b}{r + b}(-1 + f(r, b - 1, g)) = \frac{(b - r) + 2(r - g)}{(r + b)}$. Similarly, if she guesses black, her expected profit is $\frac{r}{r + b}(-1 + f(r - 1, b, g)) + \frac{b}{r + b}(1 + f(r, b - 1, g)) = \frac{(b - r) + 2(r - g)}{(r + b)}$. Plugging in $r = 2011$, $b = 2012$, $g = 2011$ gives an expected profit of $\frac{1}{4023}$."
"Let ABCD be a parallelogram with AB = 8, AD = 11, and $\angle BAD = 60^\circ$. Let X be on segment CD with CX/XD = 1/3 and Y be on segment AD with AY/YD = 1/2. Let Z be on segment AB such that AX, BY, and DZ are concurrent. Determine the area of triangle XYZ.","Let AX and BD meet at P. We have DP/PB = DX/AB = 3/4. Applying Ceva’s Theorem in $\triangle ABD$, we have $\frac{AZ}{ZB} \cdot \frac{BX}{XD} \cdot \frac{DY}{YA} = 1$, so $\frac{AZ}{ZB} = \frac{DY}{YA} \cdot \frac{XD}{XB} = \frac{1}{2} \cdot \frac{3}{4} = \frac{3}{8}$.  $[AYZ] = \frac{1}{22}[ABCD]$, $[DYX] = \frac{1}{4}[ABCD]$, $[XCBZ] = \frac{43}{88}[ABCD]$. The area of XYZ is $\frac{19}{88}$ the area of ABCD, which is $\frac{19}{88}(8 \cdot 11 \cdot \sin 60^\circ) = \frac{19\sqrt{3}}{2}$."
"Given a point $p$ and a line segment $l$, let $d(p, l)$ be the distance between them. Let A, B, and C be points in the plane such that AB = 6, BC = 8, AC = 10. What is the area of the region in the $(x, y)$-plane formed by the ordered pairs $(x, y)$ such that there exists a point P inside triangle ABC with $d(P, AB) + x = d(P, BC) + y = d(P, AC)$?","Place ABC in the coordinate plane so that A = (0, 6), B = (0, 0), C = (8, 0).  For a point P = (a, b) inside $\triangle ABC$, $d(P, AB) = a$, $d(P, BC) = b$, and $d(P, AC) = \frac{24}{5} - \frac{3}{5}a - \frac{4}{5}b$.  The region is the triangle with vertices $(\frac{24}{5}, \frac{24}{5})$, $(0, 6)$, $(8, 0)$, which has area $\frac{288}{5}$."
"The sequence $(z_n)$ of complex numbers satisfies: $z_{n+2} = \frac{z_{n+1} z_n}{z_{n+1} + z_n}$, $z_1$ and $z_2$ are not real, and $|z_n| = 1$ for all integers $n \ge 1$. Find the product of all possible values of $z_1$.","Let $z_n = r_n e^{i\theta_n}$.  Since $|z_n| = 1$, $r_n = 1$.  $z_{n+3} / z_n^2 = 2$, which means $z_{n+3} = 2 z_n^2$. Since $|z_n| = 1$, this implies $\theta_{n+3} = 2\theta_n \pmod{2\pi}$. Then $\theta_n = k \pi /5$ for some integer $k$. Then $z_1^{10} = 1$, but $z_1 \ne 1$. The product of the roots is 65536."
"Triangle ABC has perimeter 1. Its three altitudes form the side lengths of a triangle. Find the set of all possible values of min(AB, BC, CA).","Let $a, b, c$ be the side lengths.  Without loss of generality, assume $a \le b \le c$.  The altitudes are $h_a = \frac{2K}{a}$, $h_b = \frac{2K}{b}$, $h_c = \frac{2K}{c}$, where $K$ is the area.  The triangle inequality on the altitudes gives $\frac{2K}{a} < \frac{2K}{b} + \frac{2K}{c}$.  $a + b + c = 1$. The set of possible values of $a$ is $(\frac{\sqrt{5} - 1}{2}, \frac{1}{3}]$."
Let P be the number to partition 2013 into an ordered tuple of prime numbers? What is $\log_2(P)$?,"We use the following facts and heuristics. (1) The ordered partitions of n into any positive integers (not just primes) is $2^n$ by checking small cases and finding a pattern, and is not difficult to prove. (2) The partitions of 2013 into any positive integers equals the partitions of 2013 into integers from the set n, 2n, 3n, { . · · · }. (3) The small numbers matter more when considering partitions. (4) The set of primes is close in size (near the small numbers) to 2, 3, 5, 7, { · · · } or 2, 4, 6, { · · · } or 3, 6, 9, { · · · }. (5) The prime numbers get very sparse compared to the above two sets in the larger numbers. Thus, using these heuristics, the number of partitions of 2013 into primes is approximately $2^{2013/3}$ or $2^{2013/6}$, which, taking logarithms, give 670 and 1005.5, respectively. By (5), we should estimate $2^{2013/6}$."
"Let $O_1$ and $O_2$ be concentric circles with radii 4 and 6, respectively. A chord AB is drawn in $O_1$ with length 2. Extend AB to intersect $O_2$ in points C and D. Find CD.","Let O be the common center of $O_1$ and $O_2$, and let M be the midpoint of AB. Then $OM \perp AB$, so by the Pythagorean Theorem, $OM = \sqrt{4^2 - 1^2} = \sqrt{15}$. Thus $CM = \sqrt{6^2 - \sqrt{15}^2} = \sqrt{36-15} = \sqrt{21}$. Therefore, $CD = 2CM = 2\sqrt{21}$."
"Point P and line $\ell$ are such that the distance from P to $\ell$ is 12. Given that T is a point on $\ell$ such that PT = 13, find the radius of the circle passing through P and tangent to $\ell$ at T.","Let O be the center of the given circle, Q be the foot of the altitude from P to $\ell$, and M be the midpoint of PT. Then $OM \perp PT$ and $OM = PQ = 12$. Also, $PM = \frac{PT}{2} = \frac{13}{2}$. In right $\triangle OMP$, we have $OP^2 = OM^2 + PM^2 = 12^2 + (\frac{13}{2})^2 = 144 + \frac{169}{4} = \frac{725}{4}$. Therefore, $OP = \frac{\sqrt{725}}{2} = \frac{5\sqrt{29}}{2}$. Thus the radius is $\frac{5\sqrt{29}}{2}$."
"In quadrilateral ABCD, $\angle DAC = 98^\circ$, $\angle DBC = 82^\circ$, $\angle BCD = 70^\circ$, and BC = AD. Find $\angle ACD$.","Let B\' be the reflection of B across CD. Note that AD = BC, and $\angle DAC + \angle CB\'D = 180^\circ$, so ACB\'D is a cyclic quadrilateral. Thus, ACB\'D is an isosceles trapezoid, so $\angle ACB\' = 98^\circ$. Note that $\angle DCB\' = \angle BCD = 70^\circ$, so $\angle ACD = \angle ACB\' - \angle DCB\' = 98^\circ - 70^\circ = 28^\circ$."
"Let C be a circle in the xy plane with radius 1 and center (0, 0, 0), and let P be a point in space with coordinates (3, 4, 8). Find the largest possible radius of a sphere that is contained entirely in the slanted cone with base C and vertex P.","Consider the plane passing through P that is perpendicular to the plane of the circle. The intersection of the plane with the cone and sphere is a cross section consisting of a circle inscribed in a triangle with a vertex P. The other two vertices of the triangle are the points of intersection between the plane and the unit circle. The distance from P to the origin is $\sqrt{3^2 + 4^2 + 8^2} = \sqrt{89}$. The distance from P to the xy-plane is 8. The radius of the inscribed circle is given by $r = \frac{2A}{s}$, where A is the area and s is the semiperimeter. It can be shown that $r = \frac{3 - \sqrt{5}}{2}$."
"In quadrilateral ABCD, we have AB = 5, BC = 6, CD = 5, DA = 4, and $\angle ABC = 90^\circ$. Let AC and BD meet at E. Compute $\frac{BE}{ED}$.","We have $AC = \sqrt{5^2 + 6^2} = \sqrt{61}$. Applying the Law of Cosines to $\triangle ACD$, we have $AC^2 = AD^2 + CD^2 - 2(AD)(CD)\cos(\angle ADC)$, so $61 = 16 + 25 - 40\cos(\angle ADC)$, which gives $\cos(\angle ADC) = -\frac{20}{40} = -\frac{1}{2}$. Thus $\angle ADC = 120^\circ$. The ratio $\frac{BE}{ED}$ is the ratio of the areas of $\triangle ABC$ and $\triangle ADC$, which is $\frac{\frac{1}{2}(5)(6)}{\frac{1}{2}(4)(5)\sin(120^\circ)} = \frac{30}{10(\frac{\sqrt{3}}{2})} = \frac{6}{\sqrt{3}} = 2\sqrt{3}$."
"Triangle ABC has sides AB = 14, BC = 13, and CA = 15. It is inscribed in circle $\Gamma$, which has center O. Let M be the midpoint of AB, let B\' be the point on $\Gamma$ diametrically opposite B, and let X be the intersection of AO and MB\'. Find the length of AX.","Let R be the circumradius of $\triangle ABC$. Then $R = \frac{abc}{4K} = \frac{(13)(14)(15)}{4(84)} = \frac{65}{8}$. Since B\'B is a diameter, $\angle B\'AB = 90^\circ$. Also, $\triangle AMB\' \sim \triangle OMA$. Then $\frac{AX}{OM} = \frac{AB\'}{OB} = \frac{2R}{R} = 2$, so $AX = 2OM$. Since $OM \perp AB$, we have $OM = \sqrt{R^2 - (\frac{14}{2})^2} = \sqrt{(\frac{65}{8})^2 - 7^2} = \sqrt{\frac{4225 - 3136}{64}} = \frac{\sqrt{1089}}{8} = \frac{33}{8}$. Then $AX = 2OM = \frac{33}{4}$."
Compute the prime factorization of 159999.,"We have $159999 = 160000 - 1 = 20^4 - 1 = (20^2 - 1)(20^2 + 1) = (20 - 1)(20 + 1)(20^2 + 1) = 19 \cdot 21 \cdot 401 = 3 \cdot 7 \cdot 19 \cdot 401$. Therefore, the prime factorization is $\boxed{3 \cdot 7 \cdot 19 \cdot 401}$."
"Let $x_1, \dots, x_{100}$ be defined so that for each $i$, $x_i$ is a (uniformly) random integer between 1 and 6 inclusive. Find the expected number of integers in the set $\{x_1, x_1 + x_2, \dots, x_1 + x_2 + \dots + x_{100}\}$ that are multiples of 6.","For any $i$, the probability that $x_1 + x_2 + \dots + x_i$ is a multiple of 6 is $\frac{1}{6}$ because exactly 1 value out of 6 possible values of $x_i$ works. Because these 100 events are independent, the expected value is $100 \cdot \frac{1}{6} = \frac{50}{3}$. Therefore, the expected number is $\boxed{\frac{50}{3}}$."
Let ABCDEF be a regular hexagon. Let P be the circle inscribed in $\triangle BDF$. Find the ratio of the area of circle P to the area of rectangle ABDE.,"Let the side length of the hexagon be $s$. The area of rectangle ABDE is $s^2 \sqrt{3}$. The length of BD is $s\sqrt{3}$, so the area of equilateral triangle BDF is $\frac{(s\sqrt{3})^2 \sqrt{3}}{4} = \frac{3\sqrt{3}s^2}{4}$. The inradius of an equilateral triangle is $\frac{\sqrt{3}}{6}$ times the length of its side, and so has length $\frac{s\sqrt{3}}{2}$. Thus, the area of circle P is $\pi (\frac{s\sqrt{3}}{2})^2 = \frac{3\pi s^2}{4}$, so the ratio is $\frac{3\pi s^2/4}{s^2 \sqrt{3}} = \frac{3\pi}{4\sqrt{3}} = \frac{\pi \sqrt{3}}{4}$. Therefore, the ratio is $\boxed{\frac{\pi \sqrt{3}}{4}}$."
"Let D be the set of divisors of 100. Let Z be the set of integers between 1 and 100, inclusive. Mark chooses an element $d$ of D and an element $z$ of Z uniformly at random. What is the probability that $d$ divides $z$?","As $100 = 2^2 \cdot 5^2$, there are $3 \cdot 3 = 9$ divisors of 100. There are 900 possible pairs of $d$ and $z$. If $d$ is chosen, then there are $\frac{100}{d}$ possible values of $z$ such that $d$ divides $z$, so the total number of valid pairs of $d$ and $z$ is $\sum_{d|100} \frac{100}{d} = \sum_{d|100} d = (1 + 2 + 2^2)(1 + 5 + 5^2) = 7 \cdot 31 = 217$. The answer is therefore $\frac{217}{900}$. Therefore, the probability is $\boxed{\frac{217}{900}}$."
"If four fair six-sided dice are rolled, what is the probability that the lowest number appearing on any die is exactly 3?","The probability that all the die rolls are at least 3 is $(\frac{4}{6})^4$. The probability they are all at least 4 is $(\frac{3}{6})^4$. The probability of being in the former category but not the latter is thus $(\frac{4}{6})^4 - (\frac{3}{6})^4 = \frac{256 - 81}{1296} = \frac{175}{1296}$. Therefore, the probability is $\boxed{\frac{175}{1296}}$."
Find all integers $n$ for which $\frac{n^3 + 8}{n^2 - 4}$ is an integer.,"We have $\frac{n^3 + 8}{n^2 - 4} = \frac{(n + 2)(n^2 - 2n + 4)}{(n + 2)(n - 2)} = \frac{n^2 - 2n + 4}{n - 2}$ for all $n \neq -2$. Then $\frac{n^2 - 2n + 4}{n - 2} = n + \frac{4}{n - 2}$ is an integer. This happens when $n - 2 = -4, -2, -1, 1, 2, 4$, corresponding to $n = -2, 0, 1, 3, 4, 6$, but we have $n \neq -2$ so the answers are 0, 1, 3, 4, 6. Therefore, the integers are $\boxed{0, 1, 3, 4, 6}$."
"The Evil League of Evil is plotting to poison the city’s water supply. They plan to set out from their headquarters at (5, 1) and put poison in two pipes, one along the line y = x and one along the line x = 7. What’s the shortest distance they can travel to visit both pipes and then return to their headquarters?","After they go to $y = x$, we reflect the remainder of their path in $y = x$, along with the second pipe and their headquarters. Now, they must go from (5, 1) to $x = 7$ crossing $y = x$, and then go to (1, 5). When they reach $x = 7$, we reflect the remainder of their path again, so now their reflected headquarters is at (1, 9). Thus, they just go from (5, 1) to (1, 9) in some path that inevitably crosses $y = x$ and $x = 7$. The shortest path they can take is a straight line with length $\sqrt{4^2 + 8^2} = \sqrt{80} = 4\sqrt{5}$. Therefore, the shortest distance is $\boxed{4\sqrt{5}}$."
"The numbers 20, 21, ..., 215, 216 = 65536 are written on a blackboard. You repeatedly take two numbers on the blackboard, subtract one from the other, erase them both, and write the result of the subtraction on the blackboard. What is the largest possible number that can remain on the blackboard when there is only one number left?","If we reverse the order of the numbers in the final subtraction we perform, then the final number will be negated. Thus, the possible final numbers come in pairs with opposite signs. Therefore, the largest possible number is the negative of the smallest possible number. To get the smallest possible number, clearly we can take the smallest number originally on the board and subtract all of the other numbers from it, so the smallest possible number is $20 - \sum_{k=1}^{16} 2^k = 20 - 65534 = -65514$, and thus the largest possible number is 65514.  However, the question states the numbers are 20, 21, ..., 216.  The sum is $\sum_{i=20}^{216} i = \sum_{i=1}^{216} i - \sum_{i=1}^{19} i = \frac{216(217)}{2} - \frac{19(20)}{2} = 23436 - 190 = 23246$.  The largest number is $\boxed{23246}$."
"Let $A = \{a_1, a_2, \dots, a_7\}$ be a set of distinct positive integers such that the mean of the elements of any nonempty subset of A is an integer. Find the smallest possible value of the sum of the elements in A.","For $2 \le i \le 6$, we claim that $a_1 \equiv \dots \equiv a_7 \pmod{i}$. This is because if we consider any $i-1$ of the 7 numbers, the other $7 - (i - 1) = 8 - i$ of them must all be equal modulo $i$, because we want the sum of all subsets of size $i$ to be a multiple of $i$. However, $8 - i \ge 2$, and this argument applies to any $8 - i$ of the 7 integers, so in fact all of them must be equal modulo $i$. We now have that all of the integers are equivalent modulo all of $2, \dots, 6$, so they are equivalent modulo 60, their least common multiple. Therefore, if the smallest integer is $k$, then the other 6 integers must be at least $k + 60, k + 60 \cdot 2, \dots, k + 60 \cdot 6$. This means the sum is $7k + 60 \cdot 21 \ge 7 + 60 \cdot 21 = 1267$. 1267 is achievable with $\{1, 1 + 60, \dots, 1 + 60 \cdot 6\}$, so it is the answer."
"For $1 \le j \le 2014$, deﬁne $b_j = \frac{j^{2014}}{2014} \prod_{i=1, i \ne j}^{2014} (i^{2014} - j^{2014})$ where the product is over all $i \in \{1, \dots, 2014\}$ except $i = j$. Evaluate $\sum_{j=1}^{2014} \frac{1}{b_j}$.","We perform Lagrange interpolation on the polynomial $P(x) = x$ through the points $1^{2014}, 2^{2014}, \dots, 2014^{2014}$. We have $x = P(x) = 2014 \sum_{j=1}^{2014} \prod_{i=1, i \ne j}^{2014} \frac{x - i^{2014}}{j^{2014} - i^{2014}} j^{2014} \prod_{i=1, i \ne j}^{2014} \frac{1}{j^{2014} - i^{2014}} = \frac{x}{2014!} \sum_{j=1}^{2014} \frac{2014!}{b_j}$. Thus, $1 = P(0) = 2014 \sum_{j=1}^{2014} \frac{1}{b_j}$. So the desired sum is 1."
"Suppose that $(a_1, \dots, a_{20})$ and $(b_1, \dots, b_{20})$ are two sequences of integers such that the sequence $(a_1, \dots, a_{20}, b_1, \dots, b_{20})$ contains each of the numbers $1, \dots, 40$ exactly once. What is the maximum possible value of the sum $\sum_{i=1}^{20} \sum_{j=1}^{20} \min(a_i, b_j)$?","Let $x_k$, for $1 \le k \le 40$, be the number of integers $i$ with $1 \le i \le 20$ such that $a_i \ge k$. Let $y_k$, for $1 \le k \le 40$, be the number of integers $j$ with $1 \le j \le 20$ such that $b_j \ge k$. It follows from the problem statement that $x_k + y_k = 41 - k$. Note that if $1 \le i, j \le 20$, and $1 \le k \le 40$, then $\min(a_i, b_j) \ge k$ if and only if $a_i \ge k$ and $b_j \ge k$. So for a fixed $k$ with $1 \le k \le 40$, the number of pairs $(i, j)$ with $1 \le i, j \le 20$ such that $\min(a_i, b_j) \ge k$ is equal to $x_k y_k$. So we can rewrite $\sum_{i=1}^{20} \sum_{j=1}^{20} \min(a_i, b_j) = \sum_{k=1}^{40} x_k y_k$. Since $x_k + y_k = 41 - k$ for $1 \le k \le 40$, we have $x_k y_k \le \left( \frac{41 - k}{2} \right)^2$. So $\sum_{i=1}^{20} \sum_{j=1}^{20} \min(a_i, b_j) \le \sum_{k=1}^{40} \left( \frac{41 - k}{2} \right)^2 = 5530$. Equality holds when $(a_1, \dots, a_{20}) = (2, 4, \dots, 38, 40)$ and $(b_1, \dots, b_{20}) = (1, 3, \dots, 37, 39)$."
